title,studio,genres,numVotes,directors,category,primaryName,title_lc,contentRate,rlYr,type,rlMnth,rnTimeMin,gross,imdbRtCnt,imdbRtBest,imdbRtWorst,imdbRtAvg,slRateCnt,slRateAvg
Final Analysis,WB,drama|romance|thriller,14993,nm0423333,actor,Richard Gere,final analysis (1992),r,1992,movie,2,124,28590665,15005,10,1,5.9,1,2.5
The Bachelor,NL,comedy|romance,18805,nm0802551,actor,Chris O'Donnell,bachelor  the (1999),pg-13,1999,movie,11,101,21760240,18821,10,1,5.0,11,2.55
Death to Smoochy,WB,comedy|crime|drama,42069,nm0000362,actor,Robin Williams,death to smoochy (2002),r,2002,movie,3,109,8364691,42091,10,1,6.3,11,3.32
Killer Joe,LD,crime|thriller,81892,nm0001243,actor,Matthew McConaughey,killer joe (2011),unrated,2012,movie,6,102,1987762,81990,10,1,6.7,1,4.5
Invincible,BV,drama,4487,nm0001348,actor,Jouko Ahola,invincible (2001),"","","","",133,57806952,"","","","",1,3.5
The Brothers Grimm,Dim.,comedy|fantasy|horror|thriller,124962,nm0000416,actor,Matt Damon,brothers grimm  the (2005),"","","","",118,37916267,"","","","",20,2.63
Deep Impact,Par.,drama|sci-fi|thriller,186864,nm0001460,actor,Robert Duvall,deep impact (1998),pg-13,1998,movie,5,120,140464664,187069,10,1,6.2,43,3.07
Alexander,WB,action|adventure|drama|war,174473,nm0000231,actor,Colin Farrell,alexander (2004),"","","","",175,34297191,"","","","",10,2.2
Crank: High Voltage,LGF,action|comedy|crime,156431,"nm0004410,nm0962729",actor,Jason Statham,crank: high voltage (2009),r,2009,movie,4,96,13684249,156587,10,1,6.1,8,2.94
X-Men: First Class,Fox,action|adventure|sci-fi|thriller|war,713334,nm0891216,actor,James McAvoy,x-men: first class (2011),pg-13,2011,movie,6,131,146408305,713977,10,1,7.7,43,3.79
Duma,WB,adventure|drama,8503,nm0050597,actor,Alex Michaeletos,duma (2005),pg,2005,movie,5,100,870067,8506,10,1,7.2,1,3.5
Night at the Museum: Battle of the Smithsonian,Fox,action|comedy|imax,208114,nm0506613,actor,Ben Stiller,night at the museum: battle of the smithsonian (2009),pg,2009,movie,5,105,177243721,208440,10,1,6.0,10,3.1
Muppets from Space,Sony,children|comedy,20333,nm0384722,actor,Dave Goelz,muppets from space (1999),g,1999,movie,7,87,16625807,20354,10,1,6.2,9,3.17
The Terrorist,Pha.,drama,2033,nm0007144,actress,Ayesha Dharker,terrorist  the (a.k.a. malli) (theeviravaathi) (1998),unrated,2000,movie,10,95,153629,2034,10,1,7.0,1,3.0
Your Highness,Uni.,action|adventure|comedy|fantasy,103613,nm0337773,actor,Danny McBride,your highness (2011),r,2011,movie,4,102,21596445,103669,10,1,5.5,9,3.11
Junior,Uni.,comedy|sci-fi,71843,nm0718645,actor,Arnold Schwarzenegger,junior (1994),pg-13,1994,movie,11,109,36763355,71922,10,1,4.7,35,2.83
