title,title_lc,studio,directors,contentRate,rnTimeMin,genres,rlYr,rlMnth,type,primaryName,category,numVotes,imdbRtCnt,imdbRtBest,imdbRtWorst,imdbRtAvg,slRateCnt,slRateAvg,gross
Final Analysis,final analysis (1992),0.0,91.0,0.0,124.0,46.0,24.0,24.0,0.0,9.0,300.0,14993.0,15005.0,10.0,1.0,5.9,1.0,2.5,2.8590665E7
The Bachelor,bachelor  the (1999),0.0,3.0,9.0,101.0,327.0,12.0,12.0,0.0,4.0,2264.0,18805.0,18821.0,10.0,1.0,5.0,11.0,2.55,2.176024E7
Death to Smoochy,death to smoochy (2002),0.0,31.0,0.0,109.0,10.0,0.0,0.0,0.0,2.0,258.0,42069.0,42091.0,10.0,1.0,6.3,11.0,3.32,8364691.0
Killer Joe,killer joe (2011),0.0,23.0,169.0,102.0,52.0,15.0,15.0,0.0,7.0,59.0,81892.0,81990.0,10.0,1.0,6.7,1.0,4.5,1987762.0
Invincible,invincible (2001),1.0,0.0,2.0,133.0,1669.0,93.0,93.0,0.0,12.0,150.0,4487.0,0.0,0.0,0.0,0.0,1.0,3.5,5.7806952E7
The Brothers Grimm,brothers grimm  the (2005),1.0,326.0,44.0,118.0,26.0,93.0,93.0,0.0,12.0,40.0,124962.0,0.0,0.0,0.0,0.0,20.0,2.63,3.7916267E7
Deep Impact,deep impact (1998),0.0,85.0,4.0,120.0,158.0,6.0,6.0,0.0,11.0,499.0,186864.0,187069.0,10.0,1.0,6.2,43.0,3.07,1.40464664E8
Alexander,alexander (2004),1.0,65.0,0.0,175.0,67.0,93.0,93.0,0.0,12.0,12.0,174473.0,0.0,0.0,0.0,0.0,10.0,2.2,3.4297191E7
Crank: High Voltage,crank: high voltage (2009),0.0,27.0,19.0,96.0,53.0,19.0,19.0,0.0,5.0,368.0,156431.0,156587.0,10.0,1.0,6.1,8.0,2.94,1.3684249E7
X-Men: First Class,x-men: first class (2011),0.0,267.0,3.0,131.0,127.0,17.0,17.0,0.0,7.0,248.0,713334.0,713977.0,10.0,1.0,7.7,43.0,3.79,1.46408305E8
Duma,duma (2005),0.0,36.0,0.0,100.0,933.0,7.0,7.0,0.0,11.0,379.0,8503.0,8506.0,10.0,1.0,7.2,1.0,3.5,870067.0
Night at the Museum: Battle of the Smithsonian,night at the museum: battle of the smithsonian (2009),0.0,441.0,3.0,105.0,19.0,19.0,19.0,0.0,11.0,92.0,208114.0,208440.0,10.0,1.0,6.0,10.0,3.1,1.77243721E8
Muppets from Space,muppets from space (1999),0.0,15.0,5.0,87.0,1235.0,12.0,12.0,0.0,8.0,297.0,20333.0,20354.0,10.0,1.0,6.2,9.0,3.17,1.6625807E7
The Terrorist,terrorist  the (a.k.a. malli) (theeviravaathi) (1998),0.0,0.0,175.0,95.0,1021.0,13.0,13.0,1.0,0.0,1294.0,2033.0,2034.0,10.0,1.0,7.0,1.0,3.0,153629.0
Your Highness,your highness (2011),0.0,118.0,1.0,102.0,1229.0,17.0,17.0,0.0,5.0,119.0,103613.0,103669.0,10.0,1.0,5.5,9.0,3.11,2.1596445E7
Junior,junior (1994),0.0,35.0,1.0,109.0,12.0,21.0,21.0,0.0,4.0,28.0,71843.0,71922.0,10.0,1.0,4.7,35.0,2.83,3.6763355E7
Star Trek VI: The Undiscovered Country,star trek vi: the undiscovered country (1991),0.0,290.0,4.0,110.0,257.0,28.0,28.0,0.0,3.0,428.0,79589.0,79667.0,10.0,1.0,7.2,42.0,3.35,7.4888996E7
The Reaping,reaping  the (2007),0.0,9.0,0.0,99.0,231.0,1.0,1.0,1.0,5.0,120.0,44252.0,44270.0,10.0,1.0,5.6,3.0,2.5,2.5126214E7
Bed of Roses,bed of roses (1996),0.0,4.0,9.0,87.0,106.0,8.0,8.0,0.0,10.0,1684.0,8650.0,8659.0,10.0,1.0,6.0,8.0,4.0,1.9030691E7
Urban Legends: Final Cut,urban legends: final cut (2000),0.0,11.0,5.0,97.0,1583.0,13.0,13.0,1.0,6.0,2078.0,18698.0,18730.0,10.0,1.0,4.4,3.0,1.5,2.1468807E7
All Over the Guy,all over the guy (2001),0.0,1.0,14.0,95.0,1212.0,0.0,0.0,0.0,2.0,756.0,4942.0,4946.0,10.0,1.0,6.4,1.0,3.0,1022324.0
The Mission,mission  the (1986),0.0,0.0,0.0,125.0,4.0,30.0,30.0,0.0,0.0,168.0,64421.0,64497.0,10.0,1.0,7.4,9.0,3.5,1.7218023E7
The Apple,apple  the (sib) (1998),0.0,0.0,65.0,86.0,1901.0,12.0,12.0,1.0,9.0,1946.0,2672.0,2674.0,10.0,1.0,7.2,1.0,4.0,15207.0
