releaseMonth,avg_lifetime_gross,median_lifetime_gross,avg_imdb_rating,median_imdb_rating
1,2.67E+07,14036005,6.537288136,6.7
2,2.93E+07,17637950,6.505839416,6.6
3,3.23E+07,13825794,6.540336134,6.6
4,2.65E+07,12706478,6.453828829,6.5
5,5.61E+07,17781006,6.568421053,6.6
6,6.65E+07,33109743,6.623188406,6.7
7,5.86E+07,28142535,6.446650718,6.5
8,3.21E+07,16247964,6.420481928,6.5
9,2.11E+07,8586392,6.606094808,6.7
10,2.30E+07,11604598,6.621899225,6.7
11,4.75E+07,17083732,6.66741573,6.7
12,5.80E+07,34562556,6.735955056,6.8
