releaseYear,lifetime_gross,imdb_averageRating,studio
1941,1585634,8.3,RKO
1955,199963,7.6,WB
1956,177909,7.6,WB
1966,13399812,7.0,Par.
1969,171243005,7.4,Par.
1971,51700000,7.7,Fox
1973,53267000,8.0,AAP
1974,38229000,5.7,Dis.
1978,141600000,7.4,Uni.
1980,6321392,6.3,Uni.
1980,69847348,6.2,WB
1982,39565475,6.9,Uni.
1981,17374595,6.6,WB
1982,53977250,7.7,Fox
1983,8443124,7.3,Uni.
1983,11798616,7.7,WB
1985,34700291,7.8,WB
1984,28733290,6.7,Uni.
1984,20458340,7.2,Par.
1985,91666,6.7,WB
1986,38625550,7.1,BV
1986,38982260,7.1,WB
1986,17218023,7.4,WB
1987,34368475,6.9,BV
1987,2700000,4.3,Uni.
1987,989528,4.7,Par.
1987,167780960,6.1,BV
1988,13687027,6.5,BV
1988,63779477,6.8,Fox
1989,22026369,6.3,Par.
1989,64431625,7.5,Uni.
1989,19674852,6.1,Fox
1990,26098824,6.5,Fox
1990,20305841,5.5,Uni.
1991,22166041,6.5,Uni.
1991,9689816,5.4,Par.
1991,14919570,7.6,Fox
1991,74888996,7.2,Par.
1992,107533928,7.3,Sony
1992,27281507,7.7,BV
1992,18471850,6.7,WB
1992,23278931,5.1,Fox
1993,35113743,7.0,Uni.
1993,31130999,7.5,WB
1993,56505065,7.8,BV
1994,83015089,6.2,WB
1994,6821850,5.4,Sony
1996,17626234,7.8,WB
1995,7506759,5.7,WB
1995,75609945,8.3,Par.
1996,37327390,5.9,Uni.
1995,345972,5.3,BV
1996,7138523,5.4,Par.
1996,26491793,5.2,BV
1996,4619014,5.5,WB
1996,5707094,5.8,Sony
1997,11486880,5.5,Par.
1997,41909762,7.7,Sony
1998,6136856,5.7,WB
1998,60053195,6.0,Fox
1997,17626234,6.1,WB
1997,37957682,7.1,Sony
1999,14036005,5.0,Uni.
1999,155385488,7.1,Uni.
1999,4390,6.2,Fox
1998,140464664,6.2,Par.
1998,91137662,6.8,Sony
1999,474544677,6.5,Fox
2000,89302687,7.4,BV
2001,267665011,7.9,DW
1998,176484651,7.1,Fox
1999,11578059,4.3,Fox
2000,26005820,4.3,Uni.
1999,52880016,6.2,WB
1998,34562556,5.4,WB
1999,66889043,5.8,Uni.
2000,35268275,3.7,Uni.
1999,16625807,6.2,Sony
2000,155464351,6.6,DW
2003,138608444,6.6,Sony
2000,182618434,6.5,WB
2000,32534850,7.9,DW
2000,60883407,5.7,BV
2003,46566212,7.1,Fox
2003,30250745,5.6,Par.
2001,15749959,6.0,WB
2001,14254993,4.6,Fox
2001,471210,6.0,WB
2002,54606,6.2,Par.
2001,27073640,4.7,Uni.
2002,121661683,7.8,Uni.
2002,66818548,6.5,Par.
2002,48360547,5.5,Uni.
2002,8364691,6.3,WB
2002,1236166,7.2,Par.
2004,160861908,6.0,DW
2003,13084595,7.6,BV
2003,52333738,6.9,SonR
