releaseMonth,lifetime_gross,imdb_averageRating
3,19181,8.5
9,1585634,8.3
1,1788,7.3
11,15057465,6.7
10,199963,7.6
11,177909,7.6
12,44055492,7.6
8,13399812,7
6,171243005,7.4
10,51700000,7.7
12,53267000,8
2,36144000,6.9
6,38229000,5.7
9,20123742,7.7
6,18990798,6.5
9,598645,7.5
7,141600000,7.4
7,49579269,6.6
2,30177511,7.9
2,13027857,6.9
7,31899000,7.1
3,6321392,6.3
10,69847348,6.2
5,39565475,6.9
4,17985893,6.5
5,17374595,6.6
6,57059003,6.6
12,53977250,7.7
3,8443124,7.3
8,11798616,7.7
3,14568989,5.6
12,25928721,6.5
2,34700291,7.8
7,28733290,6.7
4,25068724,6.5
6,20458340,7.2
1,91666,6.7
5,8345266,7.6
3,18135531,7
7,38625550,7.1
12,38982260,7.1
10,17218023,7.4
8,7137502,6.8
7,34368475,6.9
5,2700000,4.3
4,11806119,6.8
4,989528,4.7
5,13539458,6
5,895904,7.1
11,138608,7
4,3922273,4.6
11,167780960,6.1
4,46616067,6.7
1,13030057,6.6
4,13687027,6.5
2,10006806,7.3
5,57269863,7.2
12,63779477,6.8
2,22026369,6.3
9,1932642,6.1
5,64431625,7.5
4,3960327,6
8,10647219,6.4
3,19674852,6.1
7,6157157,6.9
8,26098824,6.5
10,1293976,6.4
7,20305841,5.5
10,1217084,7.2
10,5835247,6.8
9,1911542,7.2
11,22166041,6.5
10,9689816,5.4
9,14919570,7.6
8,30102717,5.6
11,2415396,7.1
8,7434726,6.1
12,74787599,6.8
7,1228108,7
12,74888996,7.2
4,15073942,6.6
7,107533928,7.3
12,27281507,7.7
5,2502551,7
3,2735731,6.7
4,8359717,6.4
9,18471850,6.7
12,23278931,5.1
5,35113743,7
11,1450029,4.8
2,70906973,8
8,6933459,7.6
11,10340263,4.4
11,31130999,7.5
11,1001437,6.9
12,56505065,7.8
9,464284,6.9
12,83015089,6.2
12,6821850,5.4
3,17626234,7.8
9,18112,5.4
8,7506759,5.7
1,3414301,6.8
5,75609945,8.3
3,37327390,5.9
1,2291255,7.4
6,472370,6.5
6,2372744,6.5
4,345972,5.3
5,11837928,6.5
4,536023,6.1
1,339379,6.1
2,10597759,7.1
11,7138523,5.4
6,1100788,6.7
8,26491793,5.2
6,32212,6
7,4619014,5.5
8,604523,6.7
2,5707094,5.8
2,11486880,5.5
2,41909762,7.7
5,6136856,5.7
8,23499102,6.3
5,60053195,6
3,2581012,6.9
12,17626234,6.1
10,37957682,7.1
5,9586993,7.2
5,51970690,4.7
1,14036005,5
8,16757163,5.9
5,155385488,7.1
1,4390,6.2
5,140464664,6.2
12,91137662,6.8
1,43061945,7.1
5,474544677,6.5
12,89302687,7.4
4,720074,7.1
12,370720,7.7
5,267665011,7.9
4,10920544,6.8
7,176484651,7.1
6,7267585,7.7
3,11578059,4.3
6,26005820,4.3
2,52880016,6.2
12,34562556,5.4
11,66889043,5.8
12,4611784,7
6,1656223,8.1
2,15207,7.2
2,402668,6.5
3,4197015,7.2
4,35268275,3.7
7,16625807,6.2
12,95636509,7.2
1,63366989,5.9
7,155464351,6.6
11,260562,6.4
10,7316658,4.4
10,153629,7
7,138608444,6.6
6,182618434,6.5
9,32534850,7.9
10,369975,6.7
3,60883407,5.7
4,46566212,7.1
6,7002182,7.6
5,3165544,6.5
9,30250745,5.6
1,159668,5.9
8,1055671,6.6
8,12614346,3.5
4,81734,6.9
4,512451,7.3
1,12008642,6.7
10,5204007,6.3
2,15749959,6
12,50715,7.5
4,14254993,4.6
12,471210,6
8,56653,4.8
4,71543427,6.8
4,5408467,8.1
3,18944,8.2
4,54606,6.2
11,160942139,6.1
9,27073640,4.7
1,1478493,8
11,62703,6
5,195065,6.5
1,2329631,6.9
10,1016021,6.9
6,121661683,7.8
4,66818548,6.5
2,48360547,5.5
4,13885966,7.3
1,35746370,6.4
3,8364691,6.3
9,70569,5.4
4,1535286,8
3,5594617,7
10,1239183,6.9
2,411119,6.7
1,1236166,7.2
1,170687518,7.2
7,28442574,5.4
3,2200276,7.9
10,160861908,6
1,13084595,7.6
3,45289,7.5
10,52333738,6.9
9,36906460,7.3
7,40202379,3.4
8,104565114,6.3
7,120277854,7.3
9,32003620,6.5
1,62852,7.1
8,1629862,6.2
9,37762677,6.1
7,51438175,5.9
8,19478106,5.5
9,17790,6.1
12,291710957,6.9
9,13542874,7.9
6,713240,7.6
4,2694071,6.6
5,4283255,6.7
