movieId,imdbId,tmdbId,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,releaseDate,smallLensRatingCount,smallLensRatingAvg,title,genres,smallLensTagCount
1,tt0114709,862.0,Movie,1044711,10,1,8.3,G,1995-11-22,215,3.9209302325581397,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3
2,tt0113497,8844.0,Movie,367134,10,1,7.1,PG,1995-12-15,110,3.4318181818181817,Jumanji (1995),Adventure|Children|Fantasy,4
3,tt0113228,15602.0,Movie,29154,10,1,6.6,PG-13,1995-12-22,52,3.2596153846153846,Grumpier Old Men (1995),Comedy|Romance,2
4,tt0114885,31357.0,Movie,11806,10,1,6.0,R,1995-12-22,7,2.357142857142857,Waiting to Exhale (1995),Comedy|Drama|Romance,""
5,tt0113041,11862.0,Movie,40861,10,1,6.1,PG,1995-12-08,49,3.0714285714285716,Father of the Bride Part II (1995),Comedy,2
6,tt0113277,949.0,Movie,699052,10,1,8.3,R,1995-12-15,102,3.946078431372549,Heat (1995),Action|Crime|Thriller,""
7,tt0114319,11860.0,"","","","","","","",54,3.185185185185185,Sabrina (1995),Comedy|Romance,1
8,tt0112302,45325.0,Movie,11450,10,1,5.5,PG,1995-12-22,8,2.875,Tom and Huck (1995),Adventure|Children,""
9,tt0114576,9091.0,Movie,36423,10,1,5.8,R,1995-12-22,16,3.125,Sudden Death (1995),Action,""
10,tt0113189,710.0,Movie,266732,10,1,7.2,PG-13,1995-11-17,132,3.496212121212121,GoldenEye (1995),Action|Adventure|Thriller,""
11,tt0112346,9087.0,Movie,59793,10,1,6.8,PG-13,1995-11-17,70,3.6714285714285713,"American President, The (1995)",Comedy|Drama|Romance,2
12,tt0112896,12110.0,"","","","","","","",19,2.4210526315789473,Dracula: Dead and Loving It (1995),Comedy|Horror,""
13,tt0112453,21032.0,Movie,47023,10,1,7.1,G,1995-12-22,8,3.125,Balto (1995),Adventure|Animation|Children,""
14,tt0113987,10858.0,Movie,32281,10,1,7.1,R,1996-01-05,18,3.8333333333333335,Nixon (1995),Drama,2
15,tt0112760,1408.0,Movie,29923,10,1,5.7,PG-13,1995-12-22,13,3.0,Cutthroat Island (1995),Action|Adventure|Romance,""
16,tt0112641,524.0,Movie,549905,10,1,8.2,R,1995-11-22,82,3.926829268292683,Casino (1995),Crime|Drama,1
17,tt0114388,4584.0,Movie,122725,10,1,7.7,PG,1996-01-26,67,3.7761194029850746,Sense and Sensibility (1995),Drama|Romance,1
18,tt0113101,5.0,Movie,109421,10,1,6.7,R,1995-12-25,20,3.7,Four Rooms (1995),Comedy,""
19,tt0112281,9273.0,Movie,229135,10,1,6.4,PG-13,1995-11-10,88,2.727272727272727,Ace Ventura: When Nature Calls (1995),Comedy,""
20,tt0113845,11517.0,Movie,42554,10,1,5.7,R,1995-11-22,15,2.5,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,""
21,tt0113161,8012.0,Movie,87550,10,1,6.9,R,1995-10-20,89,3.49438202247191,Get Shorty (1995),Comedy|Crime|Thriller,1
22,tt0112722,1710.0,Movie,64208,10,1,6.6,R,1995-10-27,36,3.2222222222222223,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1
23,tt0112401,9691.0,Movie,86953,10,1,6.3,R,1995-10-06,16,3.125,Assassins (1995),Action|Crime|Thriller,""
24,tt0114168,12665.0,"","","","","","","",28,3.125,Powder (1995),Drama|Sci-Fi,""
