title,studio,lifetime_gross,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title_lowercase,genres,releaseYear,releaseMonth,primaryTitle,numVotes,directors,category,primaryName,runtimeMinutes
Final Analysis,WB,28590665,movie,15005,10,1,5.9,r,1,2.5,final analysis (1992),drama|romance|thriller,1992,2,Final Analysis,14993,nm0423333,actor,Richard Gere,124
The Bachelor,NL,21760240,movie,18821,10,1,5.0,pg-13,11,2.55,bachelor  the (1999),comedy|romance,1999,11,The Bachelor,18805,nm0802551,actor,Chris O'Donnell,101
Death to Smoochy,WB,8364691,movie,42091,10,1,6.3,r,11,3.32,death to smoochy (2002),comedy|crime|drama,2002,3,Death to Smoochy,42069,nm0000362,actor,Robin Williams,109
Killer Joe,LD,1987762,movie,81990,10,1,6.7,unrated,1,4.5,killer joe (2011),crime|thriller,2012,6,Killer Joe,81892,nm0001243,actor,Matthew McConaughey,102
Invincible,BV,57806952,"","","","","","",1,3.5,invincible (2001),drama,"","",Invincible,4487,nm0001348,actor,Jouko Ahola,133
The Brothers Grimm,Dim.,37916267,"","","","","","",20,2.63,brothers grimm  the (2005),comedy|fantasy|horror|thriller,"","",The Brothers Grimm,124962,nm0000416,actor,Matt Damon,118
Deep Impact,Par.,140464664,movie,187069,10,1,6.2,pg-13,43,3.07,deep impact (1998),drama|sci-fi|thriller,1998,5,Deep Impact,186864,nm0001460,actor,Robert Duvall,120
Alexander,WB,34297191,"","","","","","",10,2.2,alexander (2004),action|adventure|drama|war,"","",Alexander,174473,nm0000231,actor,Colin Farrell,175
Crank: High Voltage,LGF,13684249,movie,156587,10,1,6.1,r,8,2.94,crank: high voltage (2009),action|comedy|crime,2009,4,Crank: High Voltage,156431,"nm0004410,nm0962729",actor,Jason Statham,96
X-Men: First Class,Fox,146408305,movie,713977,10,1,7.7,pg-13,43,3.79,x-men: first class (2011),action|adventure|sci-fi|thriller|war,2011,6,X-Men: First Class,713334,nm0891216,actor,James McAvoy,131
Duma,WB,870067,movie,8506,10,1,7.2,pg,1,3.5,duma (2005),adventure|drama,2005,5,Duma,8503,nm0050597,actor,Alex Michaeletos,100
