movieId,imdbId,tmdbId,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title,genres,smallLensTagCount,releaseYear,releaseMonth
1,tt0114709,862,movie,1044711,10,1,8.3,g,215,3.92,toy story (1995),adventure|animation|children|comedy|fantasy,3,1995,11
2,tt0113497,8844,movie,367134,10,1,7.1,pg,110,3.43,jumanji (1995),adventure|children|fantasy,4,1995,12
3,tt0113228,15602,movie,29154,10,1,6.6,pg-13,52,3.26,grumpier old men (1995),comedy|romance,2,1995,12
4,tt0114885,31357,movie,11806,10,1,6.0,r,7,2.36,waiting to exhale (1995),comedy|drama|romance,"",1995,12
5,tt0113041,11862,movie,40861,10,1,6.1,pg,49,3.07,father of the bride part ii (1995),comedy,2,1995,12
6,tt0113277,949,movie,699052,10,1,8.3,r,102,3.95,heat (1995),action|crime|thriller,"",1995,12
7,tt0114319,11860,"","","","","","",54,3.19,sabrina (1995),comedy|romance,1,"",""
8,tt0112302,45325,movie,11450,10,1,5.5,pg,8,2.88,tom and huck (1995),adventure|children,"",1995,12
9,tt0114576,9091,movie,36423,10,1,5.8,r,16,3.13,sudden death (1995),action,"",1995,12
10,tt0113189,710,movie,266732,10,1,7.2,pg-13,132,3.5,goldeneye (1995),action|adventure|thriller,"",1995,11
11,tt0112346,9087,movie,59793,10,1,6.8,pg-13,70,3.67,american president  the (1995),comedy|drama|romance,2,1995,11
12,tt0112896,12110,"","","","","","",19,2.42,dracula: dead and loving it (1995),comedy|horror,"","",""
13,tt0112453,21032,movie,47023,10,1,7.1,g,8,3.13,balto (1995),adventure|animation|children,"",1995,12
14,tt0113987,10858,movie,32281,10,1,7.1,r,18,3.83,nixon (1995),drama,2,1996,01
15,tt0112760,1408,movie,29923,10,1,5.7,pg-13,13,3.0,cutthroat island (1995),action|adventure|romance,"",1995,12
16,tt0112641,524,movie,549905,10,1,8.2,r,82,3.93,casino (1995),crime|drama,1,1995,11
17,tt0114388,4584,movie,122725,10,1,7.7,pg,67,3.78,sense and sensibility (1995),drama|romance,1,1996,01
18,tt0113101,5,movie,109421,10,1,6.7,r,20,3.7,four rooms (1995),comedy,"",1995,12
19,tt0112281,9273,movie,229135,10,1,6.4,pg-13,88,2.73,ace ventura: when nature calls (1995),comedy,"",1995,11
20,tt0113845,11517,movie,42554,10,1,5.7,r,15,2.5,money train (1995),action|comedy|crime|drama|thriller,"",1995,11
21,tt0113161,8012,movie,87550,10,1,6.9,r,89,3.49,get shorty (1995),comedy|crime|thriller,1,1995,10
22,tt0112722,1710,movie,64208,10,1,6.6,r,36,3.22,copycat (1995),crime|drama|horror|mystery|thriller,1,1995,10
23,tt0112401,9691,movie,86953,10,1,6.3,r,16,3.13,assassins (1995),action|crime|thriller,"",1995,10
24,tt0114168,12665,"","","","","","",28,3.13,powder (1995),drama|sci-fi,"","",""
25,tt0113627,451,"","","","","","",76,3.63,leaving las vegas (1995),drama|romance,1,"",""
26,tt0114057,16420,"","","","","","",13,3.5,othello (1995),drama,1,"",""
27,tt0114011,9263,movie,31845,10,1,6.8,pg-13,9,3.33,now and then (1995),children|drama,"",1995,10
28,tt0114117,17015,"","","","","","",11,4.23,persuasion (1995),drama|romance,2,"",""
29,tt0112682,902,movie,70858,10,1,7.5,r,38,4.01,city of lost children  the (cité des enfants perdus  la) (1995),adventure|drama|fantasy|mystery|sci-fi,1,1995,12
