title,studio,lifetime_gross,movieId,imdbId,tmdbId,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title_lowercase,genres,smallLensTagCount,releaseYear,releaseMonth,nconst,tconst,titleType,primaryTitle,originalTitle,numVotes,directors,writers,category,primaryName,startYear,runtimeMinutes,averageRating,isAdult
The Birth of a Nation,FoxS,15861566,7065,tt0004972,618,movie,25925,10,1,6.2,tv-pg,1,2.0,birth of a nation  the (1915),drama|war,"",1915,3,nm0001273,tt0004972,movie,The Birth of a Nation,The Birth of a Nation,25898,nm0000428,"nm0228746,nm0000428,nm0940488",actress,Lillian Gish,1915,195,6,0
The Hunchback of Notre Dame,BV,100138851,25746,tt0014142,18987,"","","","","","",1,3.0,hunchback of notre dame  the (1923),drama|horror,"","","",nm0151606,tt0014142,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,5951,nm0941637,"nm0401076,nm0790622,nm0522871,nm0730929",actor,Lon Chaney,1923,133,7,0
The Hunchback of Notre Dame,BV,100138851,7079,tt0031455,31685,movie,12021,10,1,7.8,passed,2,3.5,hunchback of notre dame  the (1939),drama,1,1939,12,nm0001452,tt0031455,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,12005,nm0226189,"nm0397022,nm0290863,nm0401076",actor,Charles Laughton,1939,116,7,0
Peter Pan,Uni.,48462608,2087,tt0046183,10693,movie,149774,10,1,7.3,g,41,3.57,peter pan (1953),animation|children|fantasy|musical,"",1953,2,nm0237985,tt0046183,movie,Peter Pan,Peter Pan,149498,"nm0314671,nm0414144,nm0527217,nm0455741","nm0057381,nm0780799,nm0672093,nm0670328,nm0382548,nm0727370,nm0052520,nm0942723,nm0183183,nm0159767",actor,Bobby Driscoll,1953,77,7,0
Peter Pan,Dis.,87404651,2087,tt0046183,10693,movie,149774,10,1,7.3,g,41,3.57,peter pan (1953),animation|children|fantasy|musical,"",1953,2,nm0237985,tt0046183,movie,Peter Pan,Peter Pan,149498,"nm0314671,nm0414144,nm0527217,nm0455741","nm0057381,nm0780799,nm0672093,nm0670328,nm0382548,nm0727370,nm0052520,nm0942723,nm0183183,nm0159767",actor,Bobby Driscoll,1953,77,7,0
Seven Samurai,Col.,271841,2019,tt0047478,346,movie,360070,10,1,8.6,not rated,48,4.19,seven samurai (shichinin no samurai) (1954),action|adventure|drama,1,1956,11,nm0001536,tt0047478,movie,Seven Samurai,Shichinin no samurai,359650,nm0000041,"nm0000041,nm0368074,nm0644823",actor,Toshirô Mifune,1954,207,8,0
Diary of a Chambermaid,Cohen,54235,4399,tt0058249,36245,movie,9638,10,1,7.4,not rated,2,3.75,diary of a chambermaid (journal d'une femme de chambre  le) (1964),comedy|drama,"",1965,3,nm0603402,tt0058249,movie,Diary of a Chambermaid,Le journal d'une femme de chambre,9626,nm0000320,"nm0592282,nm0000320,nm0140643",actress,Jeanne Moreau,1964,97,7,0
The Collector,Free,7712114,7114,tt0059043,42740,movie,11629,10,1,7.5,not rated,1,0.5,collector  the (1965),drama|horror|thriller,"",1965,8,nm0000654,tt0059043,movie,The Collector,The Collector,11612,nm0943758,"nm0288826,nm0463385,nm0542970,nm0816143",actor,Terence Stamp,1965,119,7,0
"The Good, the Bad and the Ugly",UA,25100000,1201,tt0060196,429,"","","","","","",72,4.15,good  the bad and the ugly  the (buono  il brutto  il cattivo  il) (1966),action|adventure|western,1,"","",nm0000142,tt0060196,movie,"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",793254,nm0001466,"nm0898812,nm0001466,nm0408488,nm0769249",actor,Clint Eastwood,1966,161,8,0
Guess Who's Coming to Dinner,Col.,56666667,3451,tt0061735,1879,movie,47965,10,1,7.8,approved,11,4.55,guess who's coming to dinner (1967),drama,4,1967,12,nm0000075,tt0061735,movie,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,47884,nm0006452,nm0741740,actor,Spencer Tracy,1967,108,7,0
